dataset,n,q,statistic,point,ci_lo,ci_hi,se_parent_level,parents,n_boot
main,509,127,q*mean(R1),-18.85940654012559,-19.622865583476226,-18.11723937018041,0.38426483004795514,200,20000
main,509,127,q*mean(R2),18.648856498212723,18.23448395599627,19.06390227842545,0.21129261349229497,200,20000
main,509,127,q*mean(R1_plus_R2),-0.2105500419128679,-0.7354464510217905,0.30954736551331363,0.2670339504829706,200,20000
main,509,127,q*mean(R_total),1.424209092868416,0.9041298553691421,1.9263444542347181,0.26308129229522687,200,20000
main,509,127,q*mean(R_total_bulk),1.4069774669641892,0.878848242810317,1.9308913463399335,0.27097175227924264,200,20000
main,1021,255,q*mean(R1),-24.347866075267987,-25.34826570720592,-23.361201811061086,0.5126380189973692,200,20000
main,1021,255,q*mean(R2),23.99136697402711,23.292079303958587,24.705281653896897,0.362927340397109,200,20000
main,1021,255,q*mean(R1_plus_R2),-0.3564991012408782,-0.985370602035428,0.2633827547777431,0.3207868311393051,200,20000
main,1021,255,q*mean(R_total),1.2551562714382338,0.6294480692372386,1.8657098231817704,0.3184157927830714,200,20000
main,1021,255,q*mean(R_total_bulk),1.2640985682792572,0.616729520376095,1.8917451636117548,0.32675282012882306,200,20000
main,2053,513,q*mean(R1),-30.579159665200052,-32.614950019720936,-28.579934369675406,1.0391751039816985,100,20000
main,2053,513,q*mean(R2),29.974786003301393,28.461557051713903,31.533058003011014,0.7974037634261564,100,20000
main,2053,513,q*mean(R1_plus_R2),-0.6043736618986614,-1.6824502074421233,0.42709230674592463,0.5335232311533402,100,20000
main,2053,513,q*mean(R_total),0.9941616539891923,-0.06200067026102789,2.0138289793863366,0.5314320994702856,100,20000
main,2053,513,q*mean(R_total_bulk),1.000908834459185,-0.050274145765493626,2.01694266920713,0.5324567290970393,100,20000
main,4093,1023,q*mean(R1),-35.675929149505514,-38.823191406789334,-32.695853295571034,1.582607941579791,50,20000
main,4093,1023,q*mean(R2),34.81156083233366,32.44132943572053,37.24420088740227,1.2528639198357394,50,20000
main,4093,1023,q*mean(R1_plus_R2),-0.8643683171718535,-2.4961294006096457,0.7672845820722498,0.8364181030417084,50,20000
main,4093,1023,q*mean(R_total),0.7289079368082232,-0.8736723313894057,2.3431230141102195,0.8339918677997965,50,20000
main,4093,1023,q*mean(R_total_bulk),0.8254659228740528,-0.8508722459599526,2.501593463424127,0.856269101818822,50,20000
methodcheck,509,127,q*mean(R1),-19.527387390935505,-21.560269763811057,-17.525363098923556,1.0405736374535535,40,20000
methodcheck,509,127,q*mean(R2),19.277419366626564,18.258955822770993,20.34475549230046,0.5408327160846467,40,20000
methodcheck,509,127,q*mean(R1_plus_R2),-0.24996802430894177,-1.4487515462566758,0.923885106942301,0.6172598598559197,40,20000
methodcheck,509,127,q*mean(R_total),1.3944160431668062,0.19392112773362827,2.571808678971027,0.6083736840083195,40,20000
methodcheck,509,127,q*mean(R_total_bulk),1.2390087734786808,-0.0834635921910159,2.5552669799717984,0.6757255446644082,40,20000
methodcheck,1021,255,q*mean(R1),-25.939510997676884,-28.274009453779616,-23.710970487305122,1.1700230723245968,40,20000
methodcheck,1021,255,q*mean(R2),24.421299679891625,22.825055607392017,26.068538056364154,0.8417272814190274,40,20000
methodcheck,1021,255,q*mean(R1_plus_R2),-1.5182113177852654,-2.82241943140539,-0.21064509472406262,0.6707784265808415,40,20000
methodcheck,1021,255,q*mean(R_total),0.11525036851812565,-1.1911278373502276,1.4067725463083827,0.6659359070739099,40,20000
methodcheck,1021,255,q*mean(R_total_bulk),0.18687543525935518,-1.1384908399457858,1.519445751502617,0.6805464169184405,40,20000
seed2,509,127,q*mean(R1),-18.569949126803568,-19.240862512832862,-17.89875435571002,0.3462256212853112,200,20000
seed2,509,127,q*mean(R2),18.5077668411272,18.074242756146198,18.939497280063247,0.2218542321529115,200,20000
seed2,509,127,q*mean(R1_plus_R2),-0.06218228567636338,-0.5428413258051655,0.42755664395623777,0.2477915390372704,200,20000
seed2,509,127,q*mean(R_total),1.573615896477445,1.0921946711684938,2.04818903587493,0.2437711625768079,200,20000
seed2,509,127,q*mean(R_total_bulk),1.574145570651661,1.0924774672728104,2.054108321979874,0.24773532504755702,200,20000
